RANKING, TEAM, MVA SCORE
1, alabama, 0.9202
2, clemson, 0.8521
3, ohio-state, 0.8405
4, washington, 0.7975
5, western-michigan, 0.7813
6, florida-state, 0.7252
7, wisconsin, 0.7048
8, south-florida, 0.6842
9, oklahoma, 0.6836
10, west-virginia, 0.6577
11, appalachian-state, 0.6565
12, oklahoma-state, 0.6555
13, michigan, 0.6490
14, colorado, 0.6439
15, southern-california, 0.6379
16, western-kentucky, 0.6359
17, san-diego-state, 0.6322
18, air-force, 0.6310
19, kansas-state, 0.6178
20, penn-state, 0.6129
21, troy, 0.6095
22, auburn, 0.6089
23, tulsa, 0.6082
24, navy, 0.5992
25, miami-fl, 0.5895
26, tennessee, 0.5884
27, old-dominion, 0.5771
28, georgia-tech, 0.5749
29, brigham-young, 0.5696
30, stanford, 0.5668
31, louisiana-state, 0.5666
32, washington-state, 0.5652
33, virginia-tech, 0.5645
34, temple, 0.5636
35, utah, 0.5577
36, louisville, 0.5487
37, minnesota, 0.5471
38, idaho, 0.5413
39, pittsburgh, 0.5405
40, memphis, 0.5401
41, toledo, 0.5326
42, nebraska, 0.5317
43, texas-am, 0.5310
44, new-mexico, 0.5292
45, florida, 0.5188
46, georgia, 0.5185
47, north-carolina, 0.5154
48, boise-state, 0.5120
49, iowa, 0.4959
50, northwestern, 0.4846
51, houston, 0.4842
52, colorado-state, 0.4789
53, north-carolina-state, 0.4778
54, louisiana-tech, 0.4763
55, baylor, 0.4683
56, army, 0.4648
57, wyoming, 0.4613
58, mississippi-state, 0.4595
59, arkansas-state, 0.4429
60, eastern-michigan, 0.4340
61, wake-forest, 0.4331
62, ohio, 0.4276
63, kentucky, 0.4273
64, arkansas, 0.4258
65, middle-tennessee-state, 0.4247
66, boston-college, 0.4244
67, california, 0.4211
68, vanderbilt, 0.4123
69, texas-christian, 0.3969
70, south-carolina, 0.3960
71, northern-illinois, 0.3908
72, texas-san-antonio, 0.3746
73, mississippi, 0.3740
74, georgia-southern, 0.3724
75, southern-methodist, 0.3679
76, louisiana-lafayette, 0.3643
77, central-florida, 0.3643
78, hawaii, 0.3581
79, south-alabama, 0.3555
80, texas, 0.3534
81, oregon, 0.3516
82, southern-mississippi, 0.3479
83, tulane, 0.3425
84, texas-tech, 0.3412
85, missouri, 0.3393
86, maryland, 0.3380
87, indiana, 0.3369
88, oregon-state, 0.3284
89, miami-oh, 0.3206
90, syracuse, 0.3164
91, central-michigan, 0.3127
92, north-texas, 0.3028
93, charlotte, 0.3012
94, nevada-las-vegas, 0.2912
95, arizona-state, 0.2908
96, arizona, 0.2806
97, kent-state, 0.2742
98, duke, 0.2738
99, nevada, 0.2721
100, notre-dame, 0.2711
101, san-jose-state, 0.2695
102, akron, 0.2693
103, cincinnati, 0.2665
104, ucla, 0.2522
105, new-mexico-state, 0.2484
106, utah-state, 0.2405
107, marshall, 0.2308
108, iowa-state, 0.2279
109, louisiana-monroe, 0.2263
110, michigan-state, 0.2244
111, ball-state, 0.2128
112, bowling-green-state, 0.2116
113, texas-el-paso, 0.2054
114, illinois, 0.2029
115, florida-international, 0.1929
116, rice, 0.1860
117, florida-atlantic, 0.1814
118, georgia-state, 0.1640
119, east-carolina, 0.1531
120, rutgers, 0.1391
121, connecticut, 0.1231
122, virginia, 0.1194
123, massachusetts, 0.1123
124, purdue, 0.1101
125, buffalo, 0.1098
126, kansas, 0.0879
127, texas-state, 0.0618
128, fresno-state, 0.0570
